iter	Logloss
0	0.6344909161
1	0.5861545021
2	0.544728314
3	0.5068523608
4	0.4768404943
5	0.4473619442
6	0.4285313099
7	0.4091796293
8	0.3895245843
9	0.374335155
10	0.3636183507
11	0.3516555617
12	0.3424427034
13	0.3296479917
14	0.3193774773
15	0.311557266
16	0.3036629251
17	0.2987244454
18	0.2919279822
19	0.285745197
20	0.282560467
21	0.2782268245
22	0.2736509477
23	0.2699873852
24	0.2663605033
25	0.2632401835
26	0.2600533231
27	0.2568116667
28	0.2539496185
29	0.251965941
30	0.2501137899
31	0.2474811288
32	0.2466948743
33	0.2453809795
34	0.2438543014
35	0.2423186527
36	0.2408106372
37	0.2397522858
38	0.2383691104
39	0.2376221173
40	0.2365452801
41	0.235413403
42	0.2348958855
43	0.2340197118
44	0.2337627178
45	0.2331258158
46	0.2324810711
47	0.2319427543
48	0.2317437161
49	0.2311400524
50	0.2304540761
51	0.2300806412
52	0.2294925838
53	0.229078666
54	0.2286995822
55	0.2282721001
56	0.2280399849
57	0.2277394082
58	0.2274564945
59	0.2273724887
60	0.2270602759
61	0.2268700177
62	0.226608288
63	0.2264871835
64	0.2262393982
65	0.2261225481
66	0.2260528959
67	0.2259202477
68	0.2258048216
69	0.2256246332
70	0.2254945793
71	0.2253912258
72	0.2252605195
73	0.2251857258
74	0.2249966615
75	0.224844551
76	0.2246822212
77	0.2245257298
78	0.2243436814
79	0.2242640367
80	0.2242482381
81	0.2241898964
82	0.224094601
83	0.2239869327
84	0.2239104458
85	0.2237539964
86	0.2237048876
87	0.2236251281
88	0.2234269039
89	0.2233021521
90	0.2232061265
91	0.2231847224
92	0.2230138638
93	0.2229035416
94	0.222825379
95	0.2227917875
96	0.222646501
97	0.2225586291
98	0.2224871189
99	0.2224564484
100	0.222291665
101	0.2222157256
102	0.2221535578
103	0.2220662709
104	0.2220067656
105	0.221913837
106	0.2218513524
107	0.2217611424
108	0.2217477895
109	0.2216785873
110	0.2216389219
111	0.2216082902
112	0.2215506936
113	0.2214316032
114	0.2213893869
115	0.2212961036
116	0.2212317822
117	0.2211491229
118	0.2210751791
119	0.2209976813
120	0.2209141016
121	0.2208854421
122	0.2208157723
123	0.2207577593
124	0.2205982149
125	0.220572432
126	0.2205477094
127	0.2204856698
128	0.2204586371
129	0.2203839018
130	0.2203299872
131	0.2202879691
132	0.2201786752
133	0.2201046082
134	0.2199606447
135	0.2198637518
136	0.2197447461
137	0.2197209479
138	0.2195559391
139	0.2195396202
140	0.21949133
141	0.2194446905
142	0.2193289029
143	0.2192496288
144	0.2191918406
145	0.2191449981
146	0.2190385678
147	0.2188519183
148	0.2186463226
149	0.2185603085
150	0.2185092888
151	0.2184042479
152	0.2183332198
153	0.218263829
154	0.2181656835
155	0.2181033869
156	0.2180692938
157	0.2180061231
158	0.2179655923
159	0.2178786318
160	0.217857131
161	0.2178230492
162	0.2178008065
163	0.2177499414
164	0.217711451
165	0.2176452351
166	0.2176029806
167	0.2174839316
168	0.2174489184
169	0.2174432986
170	0.2174098933
171	0.2172948554
172	0.2171532239
173	0.2170735566
174	0.2170335129
175	0.2169700051
176	0.2169398446
177	0.2169081294
178	0.2168774116
179	0.2168641432
180	0.2168296766
181	0.2167393527
182	0.2166436743
183	0.21657961
184	0.216544612
185	0.2165446082
186	0.2165130299
187	0.2164484095
188	0.216368098
189	0.2163603565
190	0.2162861162
191	0.2162093923
192	0.216179563
193	0.2160984636
194	0.2160382088
195	0.2160305887
196	0.2159917307
197	0.2158788271
198	0.215846387
199	0.2157945591
200	0.2157115927
201	0.2156695425
202	0.2155865604
203	0.2155245752
204	0.2154931837
205	0.2154779405
206	0.2154165162
207	0.2152631429
208	0.2151782805
209	0.2151348391
210	0.2150303149
211	0.2149708673
212	0.2149458256
213	0.2148424466
214	0.2148042995
215	0.2147925991
216	0.2147096636
217	0.2147067284
218	0.2146871618
219	0.2146103805
220	0.2145930565
221	0.2145363807
222	0.2144369279
223	0.2143578807
224	0.2143433424
225	0.2142477362
226	0.2141831468
227	0.2141484572
228	0.2140818832
229	0.2140463314
230	0.2140086851
231	0.213978914
232	0.2138813126
233	0.2138149329
234	0.2137529239
235	0.2136847763
236	0.213605522
237	0.2135139548
238	0.2134531472
239	0.2133863533
240	0.2132836453
241	0.2132183428
242	0.2131714212
243	0.2131272806
244	0.2130196492
245	0.2129456325
246	0.212936674
247	0.2128753332
248	0.212806577
249	0.2127595943
250	0.2126891905
251	0.2126285079
252	0.2125920523
253	0.2125484447
254	0.2125415853
255	0.2125240489
256	0.2124739662
257	0.2124479752
258	0.2124040304
259	0.2123786119
260	0.2123052339
261	0.2122979067
262	0.2122231807
263	0.2121817851
264	0.2121250424
265	0.2121244077
266	0.2120372154
267	0.2120064564
268	0.2119716529
269	0.2119552516
270	0.211893723
271	0.2118235146
272	0.2118118078
273	0.2117610904
274	0.2117226148
275	0.21163161
276	0.2115951065
277	0.2115377487
278	0.2115232455
279	0.2115021935
280	0.2114448449
281	0.2114141112
282	0.2113510563
283	0.2112784775
284	0.2112423613
285	0.2112368444
286	0.211226542
287	0.2112007323
288	0.2111670119
289	0.2111602319
290	0.211156873
291	0.2111440888
292	0.2111391868
293	0.2111345086
294	0.2110893706
295	0.2110747919
296	0.2110651149
297	0.2110539713
298	0.2110169171
299	0.210996785
300	0.2109419002
301	0.2109185766
302	0.2108794459
303	0.2108595038
304	0.210850563
305	0.2108424155
306	0.2108272668
307	0.2107586656
308	0.2107059217
309	0.2106975933
310	0.2106758635
311	0.2106091152
312	0.2105606989
313	0.2105481019
314	0.2105337736
315	0.2105281437
316	0.2105199233
317	0.2105127058
318	0.2104673309
319	0.2103913052
320	0.2103605773
321	0.2103148071
